91ced81,ombwayomichael,2 days ago,list reduced
3e2f4b6,ombwayomichael,2 days ago,corrected
d71d795,ombwayo,2 days ago,merged
d8c3f1e,ombwayo,2 days ago,merged
d627fec,ombwayomichael,2 days ago,landing page finalised
1fa634d,kalosh,2 days ago,meging
402d2e2,kalosh,2 days ago,partners,mentorship
3d1b27b,Ubuntu,9 days ago,Merge branch 'master' of https://bitbucket.org/ombwayomichael/pdtpapp
98110e6,ombwayomichael,9 days ago,pagination added
3c06a6a,kalosh,9 days ago,supervisor contact
1be23a4,Ubuntu,10 days ago,Merge branch 'master' of https://bitbucket.org/ombwayomichael/pdtpapp
0f3dd20,ombwayomichael,10 days ago,numbers corrected
4a6bbf8,Ubuntu,11 days ago,Merge branch 'master' of https://bitbucket.org/ombwayomichael/pdtpapp
782c32c,ombwayomichael,11 days ago,new design done
41efe47,Ubuntu,11 days ago,merged
cb6e70c,Ubuntu,11 days ago,merged
8ba4f43,ombwayomichael,11 days ago,new design
822379e,ombwayomichael,11 days ago,innovations evaluation done
a213e63,ombwayomichael,11 days ago,innovations evaluation done
510ea91,kalosh,2 weeks ago,admin quarterly report innovation and M&E
61ffe5e,kalosh,3 weeks ago,approve quarterly report
cabc157,kalosh,3 weeks ago,issues merge
a79920a,kalosh,3 weeks ago,mergr
ede9bc0,kalosh,3 weeks ago,profile changes,issue response reply,attendance,quarterly reports
629caa6,ombwayomichael,3 weeks ago,publish message complete
a1ca1ab,ombwayomichael,3 weeks ago,publish message complete
4eaa1e2,ombwayomichael,3 weeks ago,email template
e0a9cfe,ombwayomichael,3 weeks ago,email template
ab93d36,ombwayomichael,3 weeks ago,email template
5bb5295,ombwayomichael,3 weeks ago,merged
f76b60f,ombwayomichael,3 weeks ago,search and pagination done
f0ba770,ombwayomichael,3 weeks ago,search and pagination done
8cfeb46,ombwayomichael,3 weeks ago,search and pagination done
e880cdb,ombwayomichael,3 weeks ago,search and pagination done
1935fe4,ombwayomichael,3 weeks ago,search and pagination done
5cb5c78,ombwayomichael,3 weeks ago,search and pagination done
e05c11d,ombwayomichael,3 weeks ago,search and pagination done
0af28dc,Ubuntu,3 weeks ago,merged
2f9a50b,Ubuntu,3 weeks ago,merged
0c2593f,ombwayomichael,3 weeks ago,search and pagination done
9634f6b,ombwayomichael,3 weeks ago,search and pagination done
cef8808,ombwayomichael,3 weeks ago,merged
4490fdb,ombwayomichael,3 weeks ago,merged
09bdb32,kalosh,3 weeks ago,sets
7f00e4a,kalosh,3 weeks ago,attendance,quarterly reports,issue response
1f97bda,ombwayomichael,3 weeks ago,broadcast
c807b50,ombwayomichael,3 weeks ago,public portal improved
7262edf,ombwayomichael,4 weeks ago,public portal started
5e95f2b,ombwayomichael,4 weeks ago,error solved
2d5a2d0,ombwayomichael,4 weeks ago,leave done
2f62779,Ubuntu,4 weeks ago,merged
bf3a949,Ubuntu,4 weeks ago,merged
498ef65,ombwayomichael,4 weeks ago,leave done
92c35bd,ombwayomichael,4 weeks ago,leave done
52d3765,ombwayomichael,4 weeks ago,solved
e75adcb,Ubuntu,4 weeks ago,merged
220885f,Ubuntu,4 weeks ago,merged
8a22a36,ombwayomichael,4 weeks ago,solved
b0559f4,ombwayomichael,4 weeks ago,merged
d4e142b,ombwayomichael,4 weeks ago,merged
cdd72b3,kalosh,4 weeks ago,secretariat interface M&E added fields
0aef527,Ubuntu,4 weeks ago,merged
8d35da6,Ubuntu,4 weeks ago,merged
